ID;Fecha_de_Venta;Año_del_vehiculo;Marca;Modelo;Version;Tipo_de_Combustible;transmisión;Kilometraje;Precio_de_Venta (ARS);Provincia;Ciudad;Tipo_de_Vendedor;Patente;Color;Numero_de_dueños;Fecha_de_Publicacion
1;44824;2018;Volkswagen;Amarok;Base;Nafta;Automatica;91249;2571886;Tucuman;Yerba buena;Agencia;IVG433;Gris;1;44774
2;44882;2010;Ford;Ranger;Highline;Electrico;Automatica;102652;5904393;Santa Fe;Rosario;Particular;FNO600;Negro;1;44827
3;44616;2010;Toyota;Etios;Limited;Electrico;Manual;85931;7558919;Cordoba;Rio cuarto;Particular;OCL386;Plateado;2;44589
4;44263;2021;Volkswagen;Gol;Pack Seguridad;Hibrido;Automatica;162946;4166822;Santa Fe;Rafaela;Particular;RJN265;Plateado;4;44258
5;45017;2017;Peugeot;2008;XEI 1.8 CVT;Nafta;Automatica;154693;6867438;Buenos Aires;La mantaza ;Particular;WWM161;Plateado;3;44978
6;44241;2014;Toyota;Yaris;XEI 1.8 CVT;Hibrido;Automatica;207867;5917952;Santa Fe;santa fe;Particular;YFJ781;Blanco;1;44197
7;44286;2023;Renault;Sandero;Highline;Diésel;Manual;64447;4203539;Mendoza;Godoy Cruz;Particular;QOX310;Blanco;2;44248
8;44280;2013;Peugeot;2008;Pack Seguridad;Diésel;Manual;196126;10191547;Santa Fe;Rafaela;Agencia;DOX164;Plateado;4;44268
9;44083;2013;Renault;Sandero;Base;Hibrido;Automatica;74442;4734627;Salta;Cafayate;Agencia;MOK341;Gris;4;44059
10;44660;2021;Toyota;Corolla;XEI 1.8 CVT;Nafta;Automatica;99877;11050255;Mendoza;Godoy Cruz;Particular;OSJ764;Plateado;3;44643
11;44172;2014;Volkswagen;T-Cross;Pack Seguridad;Electrico;Automatica;33382;4183563;Mendoza;Godoy Cruz;Particular;ZUZ030;Azul;1;44118
12;44246;2008;Renault;Sandero;Base;Diésel;Automatica;41020;2077942;Tucuman;Tafi viejo;Particular;PFZ953;Negro;3;44202
13;45205;2016;Ford;Ranger;XEI 1.8 CVT;Nafta;Automatica;78119;8503626;Cordoba;Rio cuarto;Agencia;VJI423;Blanco;2;45196
14;44239;2013;Renault;Duster;Full;Nafta;Manual;47485;8305943;Buenos Aires;La mantaza ;Particular;IGF653;Negro;4;44190
15;43972;2012;Renault;Duster;Limited;Diésel;Manual;133930;6944949;Cordoba;Rio cuarto;Agencia;MEY226;Rojo;1;43939
16;44423;2019;Ford;Ka;Highline;Diésel;Manual;49078;11505203;Cordoba;Rio cuarto;Particular;RUH480;Blanco;1;44396
17;44890;2023;Renault;Duster;Limited;Hibrido;Manual;231226;7444863;Salta;Cafayate;Agencia;BKD514;Azul;3;44877
18;43836;2012;Toyota;Etios;Highline;Nafta;Automatica;144784;4355090;Salta;Cafayate;Agencia;OTO281;Plateado;4;43824
19;44619;2021;Volkswagen;Vento;Base;Electrico;Automatica;99454;2746023;Tucuman;Alderetes;Agencia;XHA528;Plateado;3;44595
20;44761;2023;Ford;Focus;Full;Diésel;Automatica;234209;5241992;Mendoza;Godoy Cruz;Particular;ZTP015;Gris;3;44728
21;43920;2009;Ford;Ka;Pack Seguridad;Nafta;Automatica;38184;11910766;Buenos Aires;La mantaza ;Agencia;EWI117;Negro;2;43893
22;45020;2023;Chevrolet;Onix;Pack Seguridad;Hibrido;Automatica;174767;5785404;Buenos Aires;La mantaza ;Agencia;QHM782;Rojo;2;44966
23;44488;2008;Chevrolet;S10;Pack Seguridad;Electrico;Manual;82006;10844988;Tucuman;Yerba buena;Agencia;QPX346;Blanco;4;44448
24;44511;2012;Volkswagen;Amarok;Highline;Diésel;Manual;12840;3865171;Mendoza;Godoy Cruz;Agencia;VBL331;Plateado;3;44497
25;44691;2021;Chevrolet;S10;Limited;Hibrido;Manual;158530;2859386;Cordoba;Rio cuarto;Agencia;TOD301;Blanco;2;44644
26;44186;2016;Chevrolet;Tracker;Limited;Electrico;Manual;167743;7612623;Tucuman;Yerba buena;Agencia;PRQ518;Negro;2;44143
27;44585;2022;Ford;Ka;Base;Electrico;Manual;221585;10361865;Buenos Aires;La mantaza ;Agencia;EPY299;Blanco;2;44528
28;44565;2010;Chevrolet;Tracker;Highline;Hibrido;Automatica;19505;5222225;Santa Fe;Rafaela;Particular;WBA116;Gris;4;44538
29;44556;2009;Volkswagen;Vento;Highline;Nafta;Automatica;230360;7675350;Tucuman;Alderetes;Particular;UVZ106;Gris;2;44533
30;45169;2008;Ford;EcoSport;Base;Electrico;Automatica;86953;6343552;Salta;Cafayate;Agencia;CIB338;Blanco;4;45127
