tipo_de_carretera;numeros_de_carriles;curvatura;limite_de_velocidad;iluminacion;clima;seniales_presentes;carretera_publica;momento_del_dia;feriado;temporada_escolar;nro_accidentes_reportados;riesgo_de_accidente
rural;2;0,29;70;noche;lluvioso;no;si;tarde;no;no;1;0,64
autopista;1;0,34;25;poca_luz;despejado;no;no;mañana;no;no;3;0,27
rural;2;0,76;70;noche;neblina;si;no;tarde;si;si;1;0,76
rural;3;0,37;70;noche;neblina;si;no;mañana;no;si;0;0,6
autopista;3;0,39;45;poca_luz;lluvioso;no;si;mañana;no;no;0;0,17
autopista;4;0,52;60;noche;lluvioso;si;no;tarde;si;no;1;0,59
rural;2;0,06;25;luz;despejado;no;si;mañana;si;si;2;0,03
urban;3;0,72;60;poca_luz;lluvioso;no;no;tarde;no;no;3;0,64
rural;4;0,09;45;noche;neblina;si;no;mañana;no;si;1;0,38
rural;2;0,89;25;noche;lluvioso;no;no;mañana;si;no;2;0,51
rural;3;0,54;45;poca_luz;lluvioso;no;no;noche;no;no;2;0,24
rural;4;0,94;70;poca_luz;despejado;si;no;tarde;no;no;2;0,49
autopista;4;0,4;25;luz;despejado;no;si;noche;no;si;1;0,08
rural;3;0,98;35;noche;lluvioso;no;no;mañana;si;si;0;0,63
urban;1;0,61;25;luz;neblina;no;no;mañana;no;si;6;0,38
autopista;3;0,12;45;poca_luz;lluvioso;no;si;mañana;no;si;0;0,1
urban;4;0,56;25;noche;despejado;no;si;noche;no;no;0;0,28
urban;1;0,05;45;noche;neblina;no;si;noche;si;no;1;0,31
urban;1;0,44;45;luz;neblina;si;no;tarde;no;no;3;0,3
urban;2;0,67;70;luz;despejado;no;si;mañana;si;si;2;0,37
autopista;1;0,13;60;poca_luz;neblina;no;si;tarde;si;si;1;0,4
autopista;4;0,16;70;luz;lluvioso;no;no;mañana;no;si;3;0,51
urban;4;0,76;25;luz;despejado;si;si;tarde;no;si;2;0,25
urban;2;0,27;45;poca_luz;lluvioso;no;no;tarde;no;si;1;0,27
autopista;4;0,85;25;luz;neblina;si;si;mañana;no;no;1;0,36
autopista;4;0,61;45;poca_luz;lluvioso;si;si;noche;si;si;1;0,25
autopista;4;0,55;25;poca_luz;neblina;no;no;tarde;no;no;1;0,28
rural;2;0,39;45;luz;neblina;no;no;tarde;no;si;1;0,3
rural;1;0,96;35;luz;despejado;no;si;mañana;si;si;3;0,42
rural;2;0,62;45;noche;neblina;si;si;mañana;no;si;2;0,45
urban;1;0,08;70;noche;neblina;no;si;noche;no;no;0;0,45
rural;4;0,41;35;noche;despejado;no;si;mañana;no;no;0;0,35
urban;3;0,12;35;luz;lluvioso;si;si;mañana;no;si;1;0,09
urban;2;0,73;45;luz;lluvioso;si;si;noche;no;no;1;0,28
rural;1;0,25;25;noche;neblina;no;si;noche;si;no;2;0,35
urban;1;0,02;25;poca_luz;lluvioso;si;si;tarde;si;si;0;0,1
rural;4;0,99;25;noche;lluvioso;si;si;noche;si;no;0;0,6
rural;1;0,47;45;luz;neblina;si;si;noche;no;no;2;0,14
autopista;4;0,03;25;poca_luz;neblina;no;no;tarde;no;no;2;0,18
rural;4;0,45;25;luz;despejado;no;si;mañana;no;no;0;0,22
autopista;4;0,27;70;luz;despejado;no;no;noche;si;no;0;0,33
rural;1;0,73;60;noche;lluvioso;no;si;mañana;no;no;1;0,7
rural;3;0,01;45;luz;neblina;si;si;mañana;si;si;1;0,13
autopista;2;0,14;70;poca_luz;neblina;no;no;mañana;si;si;1;0,3
autopista;1;0,35;45;poca_luz;despejado;no;no;tarde;si;si;1;0,09
rural;2;0,4;35;poca_luz;lluvioso;no;si;tarde;si;no;1;0,2
urban;1;0,49;70;noche;neblina;si;si;tarde;no;si;1;0,74
autopista;4;0,35;35;luz;despejado;no;no;mañana;si;no;1;0,06
urban;2;0,4;45;poca_luz;despejado;no;no;noche;si;si;1;0,08
urban;4;0,48;25;poca_luz;lluvioso;no;si;tarde;no;si;2;0,27
urban;1;0,93;60;noche;despejado;no;no;noche;no;si;3;0,82
autopista;1;0,53;70;noche;neblina;si;si;noche;si;no;1;0,65
urban;3;0,43;35;poca_luz;despejado;si;si;tarde;no;si;1;0,12
autopista;2;0,05;25;noche;lluvioso;si;si;mañana;si;si;3;0,4
urban;1;0,15;45;noche;lluvioso;no;no;tarde;si;no;3;0,42
rural;1;0,76;35;luz;neblina;si;no;mañana;si;no;3;0,38
rural;3;0,96;25;noche;neblina;no;si;mañana;no;no;1;0,51
